sessionID,figureID,sector,figureName,startDate,endDate
RTI-01,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-02,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-03,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-04,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-05,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-06,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-07,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-08,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-09,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-10,F01,AA,The Praying Figure with Spiral,2025-09-05,2025-09-09
RTI-11,F02,B,The Praying Woman Figure,2025-09-05,2025-09-09
RTI-12,F02,B,The Praying Woman Figure,2025-09-05,2025-09-09
RTI-13,F03,F,The Spiral Figure,2025-09-05,2025-09-09
RTI-14,F03,F,The Spiral Figure,2025-09-05,2025-09-09
RTI-15,F03,F,The Spiral Figure,2025-09-05,2025-09-09
RTI-16,F03,F,The Spiral Figure,2025-09-05,2025-09-09
RTI-17,F03,F,The Spiral Figure,2025-09-05,2025-09-09
RTI-18,F03,F,The Spiral Figure,2025-09-05,2025-09-09
RTI-19,F04,L,The Warrior Figure with Shield,2025-09-05,2025-09-09
RTI-20,F04,L,The Warrior Figure with Shield,2025-09-05,2025-09-09
RTI-21,F04,L,The Warrior Figure with Shield,2025-09-05,2025-09-09
RTI-22,F04,L,The Warrior Figure with Shield,2025-09-05,2025-09-09
RTI-23,F04,L,The Warrior Figure with Shield,2025-09-05,2025-09-09
RTI-24,F05,L,The Second Warrior Figure,2025-09-05,2025-09-09
RTI-25,F06,L,The Wild Boar Figure,2025-09-05,2025-09-09
RTI-26,F06,L,The Wild Boar Figure,2025-09-05,2025-09-09
RTI-27,F07,Q,The Goat Figure with a Beard,2025-09-05,2025-09-09
RTI-28,F07,Q,The Goat Figure with a Beard,2025-09-05,2025-09-09
RTI-29,F08,Q,The Second Goat Figure,2025-09-05,2025-09-09
RTI-30,F08,Q,The Second Goat Figure,2025-09-05,2025-09-09
RTI-31,F08,Q,The Second Goat Figure,2025-09-05,2025-09-09
RTI-32,F08,Q,The Second Goat Figure,2025-09-05,2025-09-09
RTI-33,F08,Q,The Second Goat Figure,2025-09-05,2025-09-09
RTI-34,F09,Q,The Map-like Figure,2025-09-05,2025-09-09
RTI-35,F09,Q,The Map-like Figure,2025-09-05,2025-09-09
RTI-36,F10,S,The Knight Figure,2025-09-05,2025-09-09
RTI-37,F10,S,The Knight Figure,2025-09-05,2025-09-09
RTI-38,F10,S,The Knight Figure,2025-09-05,2025-09-09
RTI-39,F11,S,The Figure with a Square,2025-09-05,2025-09-09
RTI-40,F11,S,The Figure with a Square,2025-09-05,2025-09-09
